id,bezirk,bezeichnung,strasse,plz,von,bis,zeit,veranstalter,Tel,Fax,mail,www,bemerkungen,Eintrittspreis,Änderungen
518,Finowfurt,20. Flößerfest Finowfurt,,,03.07.2015,05.07.2015,Fr 13:00,LAUBINGER Veranstaltungsagentur,033439/14 34 90,033439/14 34 92,info@laubinger.de,www.laubinger.de,"Stadtfest mit großem Bühnenprogramm, Festumzug, Schauflößen, Vereinsmeile, Handwerkern, Feuerwerk und Aktivitäten rund ums Wasser",K.A.,Eintritt
516,Fredersdorf,Brückenfest,,15370,27.06.2015,28.06.2015,K.A.,LAUBINGER Veranstaltungsagentur,033439/14 34 90,033439/14 34 92,info@laubinger.de,www.laubinger.de,"Sommerfest mit Bühnenprogramm, Schaustellern, Händlermeile und Vereinsprogramm",Eintritt frei,Eintritt
40,Friedrichshain-Kreuzberg,Myfest 2015,Rund um den Mariannenplatz und die Oranienstraße,,01.05.2015,01.05.2015,12:00-22:00,Kotti e. V.,,,"
info@myfest.de",www.myfest.de,,Eintritt frei,Zeit Eintritt
42,Friedrichshain-Kreuzberg,Familienfest im Görlitzer Park,Görlitzer Park,,13.06.2015,13.06.2015,14:00-19:00,Mitveranstalter: GEKKO Reichenberger Kiez im Kreuzberger Stadtteilzentrum,61 62 72 83,61 62 49 99,gekko-reichberger@nachbarschaftshaus.de,www.reichenbergerkiez.net,,K.A.,Eintritt
44,Friedrichshain-Kreuzberg,13. OpenAirGallery 2015 auf der Oberbaumbrücke,Oberbaumbrücke,,07.06.2015,07.06.2015,10:00-20:00,"Stadtteilausschuss Kreuzberg e. V., Projektleiter: Herr Bayam",61 28 27 00,61 28 27 01,post@stadtteilausschuss-kreuzberg.de,www.openairgallery.de,,Eintritt frei,Eintritt
46,Friedrichshain-Kreuzberg,20. Karneval der Kulturen,Blücherplatz,,22.05.2015,25.05.2015,"Fr 16:00-24:00
Sa 11:00-24:00
So 11:00-24:00
Mo 11:00-19:00",Kulturprojekte Berlin GmbH,24 74 98 47,,info@karneval-berlin.de,www.karneval-berlin.de,"Straßenumzug:
24.05.: 12:30 - ca. 21:00, Umzugsstrecke: Hermannplatz - Hasenheide - Gneisenaustraße - Mehringdamm",Eintritt frei,Eintritt
48,Friedrichshain-Kreuzberg,19. Kinderkarneval der Kulturen,Start am Mariannenplatz,,23.05.2015,23.05.2015,13:30 Start am Mariannenplatz,Kreuzberger Musikalische Aktion KMA e. V.,25 29 51 63/4,25 29 51 62,booking@kma-antenne.de,www.kma-kinderkarneval.de,"Kinderfest:
15:00-19:00 im Görlitzer Park",Eintritt frei,Eintritt
50,Friedrichshain-Kreuzberg,21. Fête de la Musique,"",,21.06.2015,21.06.2015,"14:00-22:00
",Fête Company,+49-30- 417 15 289,,hallo@fetedelamusique.de,www.fetedelamusique.de,Veranstaltungsorte und Uhrzeiten: siehe gesondertes Verzeichnis,Eintritt frei,Eintritt Telefon
52,Friedrichshain-Kreuzberg,22. Bergmannstraßenfest/Kreuzberg jazzt!,Bergmannstraße / Chamissoplatz,,26.06.2015,28.06.2015,"Fr 16:00-22:00
Sa 11:00-22:00
So 11:00-20:00",Kiez und Kultur e. V.,61 67 56 81,61 67 56 82,office@kiez-und-kultur.de,www.kiez-und-kultur.de,,Eintritt frei,Eintritt
54,Friedrichshain-Kreuzberg,13. OpenAirGallery 2015 auf der Oberbaumbrücke,Oberbaumbrücke,,05.07.2015,05.07.2015,10:00-20:00,"Stadtteilausschuss Kreuzberg e. V., Projektleiter: Herr Bayam",61 28 27 00,61 28 27 01,post@stadtteilausschuss-kreuzberg.de,www.openairgallery.de,,Eintritt frei,Eintritt
56,Friedrichshain-Kreuzberg,19. Internationales Berliner Bierfestival,"Karl-Marx-Allee, vom Strausberger Platz bis zum Frankfurter Tor",,07.08.2015,09.08.2015,"Fr 12:00-24:00
Sa 10:00-24:00
So 10:00-22:00",PRÄSENTA GmbH,65 76 35 60,65 76 35 69,info@praesenta-berlin.de,www.praesenta-berlin.de,www.bierfestival-berlin.de,Eintritt frei,Eintritt
58,Friedrichshain-Kreuzberg,18. Lesbischwules Parkfest,Volkspark Friedrichshain,,08.08.2015,08.08.2015,15:00-22:00,AWO Kreisverband Berlin-Friedrichshain-Kreuzberg e. V.,42 08 90 34,42 08 92 99,awo-berlin@spree-wuhle.de,www.parkfest-friedrichshain.de,,Eintritt frei,Eintritt
60,Friedrichshain-Kreuzberg,Das Radioeins Parkfest,Park am Gleisdreieck,,27.08.2015,06.09.2015,K.A.,"radioeins vom RBB, Marlene-Dietrich-Allee 20, 14482 Potsdam",0331 - 70 99 222,,office@radioeins.de,www.radioeins.de,,Eintritt frei,Eintritt Telefon Zeit
62,Friedrichshain-Kreuzberg,7. Reichenberger Kiezfest Nachbarschaftsfest,Reichenberger Straße zwischen Lausitzer Straße und Ohlauer Straße,,29.08.2015,29.08.2015,15:00-22:00,GEKKO Reichenberger Kiez im Kreuzberger Stadtteilzentrum,61 62 72 83,61 62 49 99,Gekko-reichberger@nachbarschaftshaus.de,www.reichenbergerkiez.net,,Eintritt frei,Eintritt
64,Friedrichshain-Kreuzberg,Sommerfest Alte Feuerwache,"Alte Feuerwache, Marchlewskistr. 6",,25.09.2015,25.09.2015,16:00-22:00,"Kulturhaus Friedrichshain, Alte Feuerwache",426 66 36,,studiobuehne@kulturamtfk.de,www.kulturamt-friedrichshain-kreuzberg.de/alte-feuerwache/,,K.A.,Eintritt
66,Friedrichshain-Kreuzberg,Sommerfest des Vereins Alte Feuerwache Kreuzberg,Axel-Springer-Str. 40/41,10969,13.09.2015,13.09.2015,14:00-18:00,Alte Feuerwache e. V.,25 39 92 10,,mailbox@alte-feuerwache.de,www.alte-feuerwache.de,,K.A.,Eintritt
68,Friedrichshain-Kreuzberg,Straßenfest am Internationalen Welttag der Gehörlosen im Rahmen der 4. DEAF WEEK (19. - 27.09.2015),"Friedrichstraße 10 - 12, am Theodor-Wolff-Park",,26.09.2015,26.09.2015,K.A.,Gehörlosenverband Berlin e. V.,,"
030 – 251 70 53",info@deafberlin.de,www.deafberlin.de,,K.A.,Eintritt Fax
554,Hennigsdorf,19. Hennigsdorfer Festmeile,Fußgängerzone zwischen Havelplatz und Postplatz,16761,28.08.2015,30.08.2015,"Fr 18:00-24:00
Sa 11:00-24:00
So 11:00-20:00",Stadt Hennigsdorf in Zusammenarbeit mit S & T Veranstaltungsservice und Bergmann Eventgastronomie,,,,www.hennigsdorf.de,,K.A.,Eintritt
490,Kagel (Grünheide),640 Jahrfeier,Dorfanger Kagel (Grünheide),15537,19.06.2015,20.06.2015,"Fr 16:00-22:00
Sa 10:00-22:00
So 10:00-21:00","Wandertheater Cocolorus Budenzauber, Brauchtumspflege Mecklenburg-Vorpommern e. V., Dietmar Frick",039826/134 20,039826/134 24,cocolorus@t-online.de,www.cocolorus-diaboli.de,,"Eintritt: 7 Euro, erm. 3 Euro
",Eintritt Zeit
446,Klaistow,25 Jahre Buschmann und Winkelmann und Eröffnung der Klaistower Spargelsaison,Spargel- und Erlebnishof Klaistow,14547,18.04.2015,19.04.2015,14:00-22:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Zeit Eintritt
450,Klaistow,Großes Osterfeuer in Klaistow,Spargel- und Erlebnishof Klaistow,14547,05.04.2015,05.04.2015,"18:00-22:00
","Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Zeit Eintritt
464,Klaistow,Maifeiertag mit Live-Musik,Spargel- und Erlebnishof Klaistow,14547,01.05.2015,01.05.2015,16:00-22:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Zeit Eintritt
470,Klaistow,Klaistower Spargelfest,Spargel- und Erlebnishof Klaistow,14547,03.05.2015,03.05.2015,16:00-22:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Zeit Eintritt
474,Klaistow,Zum Muttertag Beelitzer Spargel und Gesang mit dem Shantychor der Wasserschutzpolizei Brandenburg,Spargel- und Erlebnishof Klaistow,14547,10.05.2015,10.05.2015,14:00-20:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Zeit Eintritt
480,Klaistow,Himmelfahrt in Klaistow,Spargel- und Erlebnishof Klaistow,14547,14.05.2015,14.05.2015,12:00-22:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Zeit Eintritt
492,Klaistow,9. Beelitzer Spargellauf,Spargel- und Erlebnishof Klaistow,14547,30.05.2015,30.05.2015,ab 10:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Zeit Eintritt
494,Klaistow,Kindertag,Spargel- und Erlebnishof Klaistow,14547,01.06.2015,01.06.2015,ab 10:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Zeit Eintritt
502,Klaistow,Pfingsten auf dem Spargelhof Klaistow,Spargel- und Erlebnishof Klaistow,14547,24.05.2015,25.05.2015,"12:00-20:00
","Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Zeit Eintritt
508,Klaistow,Hoffest zur Brandenburger Landpartie,Spargel- und Erlebnishof Klaistow,14547,13.06.2015,14.06.2015,K.A.,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Zeit Eintritt
514,Klaistow,Erdbeerfest mit Riesen-Erdbeertorte und DRK-Blutspendeaktion,Spargel- und Erlebnishof Klaistow,14547,07.06.2015,07.06.2015,K.A.,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,Anschnitt 10:00,"K.A.
",Zeit Eintritt
524,Klaistow,Mud Day - Spaß im Matsch,Spargel- und Erlebnishof Klaistow,14547,08.08.2015,08.08.2015,12:00-17:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,"Eintritt
"
532,Klaistow,Heidelbeerfest,Spargel- und Erlebnishof Klaistow,14547,19.07.2015,19.07.2015,ab 12:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Eintritt
546,Klaistow,Zuckertütenfest für Brandenburger und Berliner ABC-Schützen,Spargel- und Erlebnishof Klaistow,14547,29.08.2015,29.08.2015,12:00-15:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Eintritt
558,Klaistow,"Eröffnung der 12. Berlin-Brandenburgischen Kürbisausstellung ""Könige in Klaistow""",Spargel- und Erlebnishof Klaistow,14547,29.08.2015,29.08.2015,K.A.,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Eintritt Zeit
582,Klaistow,Riesen-Kürbissuppe,Spargel- und Erlebnishof Klaistow,14547,06.09.2015,06.09.2015,K.A.,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Eintritt Zeit
592,Klaistow,3. Deutsche Riesengemüse-Wiegemeisterschaft,Spargel- und Erlebnishof Klaistow,14547,20.09.2015,20.09.2015,Ab 14:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Eintritt
602,Klaistow,Offene GPC-Kürbiswiegemeisterschaft Berlin-Brandenburg 2015,Spargel- und Erlebnishof Klaistow,14547,27.09.2015,27.09.2015,ab 14:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,Vorjahressieger: 951 kg,K.A.,Eintritt
610,Klaistow,Oktoberfest,Spargel- und Erlebnishof Klaistow,14547,25.09.2015,25.09.2015,19:00-24:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,"",Eintritt 7 €,Eintritt
618,Klaistow,Drachenfest,Spargel- und Erlebnishof Klaistow,14547,18.10.2015,18.10.2015,ab 11:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Eintritt
624,Klaistow,"Halloween-Fest mit Kinder-Kostümdisko, Lagerfeuer, Laternenumzug und Feuerwerk",Spargel- und Erlebnishof Klaistow,14547,31.10.2015,31.10.2015,ab 12:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Eintritt
626,Klaistow,Kürbisschlachtefest,Spargel- und Erlebnishof Klaistow,14547,01.11.2015,01.11.2015,"ab 14:00
","Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Eintritt Zeit
630,Klaistow,Countryfest,Spargel- und Erlebnishof Klaistow,14547,27.11.2015,27.11.2015,18:00-23:00,"Spargel- und Erlebnishof Buschmann & Winkelmann, Glindower Str. 28, 14547 Beelitz OT Klaistow",033206/610 70,033206/610 89,info@buschmann-winkelmann.de,www.buschmann-winkelmann.de,,K.A.,Eintritt
576,Königs Wusterhausen,"3. Ritterfest in Königs Wusterhausen - Historischer Markt mit Ritterlager & Ritterturnier am Boden, Musik & Show","Festwiese am Nottekanal, Königs Wusterhausen",15711,19.09.2015,20.09.2015,"Sa 10:00-22:00
So 10:00-19:00",Carnica Historische Feste & Märkte,0171/515 32 70,033602/29 64,post@carnica.de,www.carnica-spectaculi.de,"","Eintritt Erwachsene 7 €, Kinder bis 5 Jahre frei, Kinder 6 - 16 Jahre 5 
€, Schüler, Studenten, gewandete Gäste 6 €, Familie 18 € (2 Erwachsene 
mit eigenen Kindern bis 16 Jahre)",Eintritt
522,Kremmen,10. Drachenbootrennen Kremmen auf dem Beetzer See,"Am Beetzer See, Kremmen/Beetz Sommerfeld",,11.07.2015,11.07.2015,ca. 09:00-18:00,"Stadt Kremmen, Organisation: Wassersportzentrum Oranienburg",03301/53 95 90,03301/53 95 91,info@wassersportzentrum-oranienburg.de,www.wassersportzentrum-oranienburg.de,Abendveranstaltung: ca. 20:00-01:00,K.A.,Eintritt
542,Kremmen,Feuer und Flamme für Kremmen,Historisches Scheunenviertel Kremmen,,22.08.2015,22.08.2015,Beginn 14:00,"Theater ""Tiefste Provinz""",0170/212 91 35,,daliborq@aol.com,www.tiefsteprovinz.de,,Eintritt frei,Eintritt
556,Kremmen,Erntefest in Kremmen 2015,Historisches Scheunenviertel Kremmen,,05.09.2015,06.09.2015,Beginn 10:00,Scheunenviertel Kremmen e. V.,033055/222 12,033055/707 65,TIP@Kremmen.de,www.scheunenviertel-kremmen.com/,,"Eintritt frei
",WWW Eintritt
584,Kremmen,Kürbisfest,Kremmen,,16.10.2015,18.10.2015,Beginn 10:00,Scheunenviertel Kremmen e. V.,033055/222 12,033055/707 65,TIP@Kremmen.de,www.scheunenviertel-kremmen.com,,Eintritt frei,Eintritt
70,Lichtenberg,Frühlingsfest Hohenschönhausen,"Frühlingsfest mit Bühnenprogramm und Schaustellern auf dem Parkplatz am Cinemotion Kino, Kirmes",,09.04.2015,12.04.2015,K.A.,LAUBINGER Veranstaltungsagentur,033439/14 34 90,033439/14 34 92,info@laubinger.de,www.laubinger.de,,K.A.,Zeit Eintritt
